time,x,y,z,roll,pitch,yaw,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z
21.187000,0.000000,0.000000,1.974246,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.705600,0.000000,0.000000,0.000000
21.188000,0.000000,0.000000,1.973530,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.715400,0.000000,0.000000,0.000000
21.189000,0.000000,0.000000,1.972805,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.725200,0.000000,0.000000,0.000000
21.190000,0.000000,0.000000,1.972070,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.735000,0.000000,0.000000,0.000000
21.191000,0.000000,0.000000,1.971325,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.744800,0.000000,0.000000,0.000000
21.192000,0.000000,0.000000,1.970571,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.754600,0.000000,0.000000,0.000000
21.193000,0.000000,0.000000,1.969806,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.764400,0.000000,0.000000,0.000000
21.194000,0.000000,0.000000,1.969032,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.774200,0.000000,0.000000,0.000000
21.195000,0.000000,0.000000,1.968248,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.784000,0.000000,0.000000,0.000000
21.196000,0.000000,0.000000,1.967454,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.793800,0.000000,0.000000,0.000000
21.197000,0.000000,0.000000,1.966651,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.803600,0.000000,0.000000,0.000000
21.198000,0.000000,0.000000,1.965837,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.813400,0.000000,0.000000,0.000000
21.199000,0.000000,0.000000,1.965014,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.823200,0.000000,0.000000,0.000000
21.200000,0.000000,0.000000,1.964181,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.833000,0.000000,0.000000,0.000000
21.201000,0.000000,0.000000,1.963338,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.842800,0.000000,0.000000,0.000000
21.202000,0.000000,0.000000,1.962486,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.852600,0.000000,0.000000,0.000000
21.203000,0.000000,0.000000,1.961623,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.862400,0.000000,0.000000,0.000000
21.204000,0.000000,0.000000,1.960751,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.872200,-0.000000,0.000000,0.000000
21.205000,0.000000,0.000000,1.959869,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.882000,-0.000000,0.000000,0.000000
21.206000,0.000000,0.000000,1.958977,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.891800,-0.000000,0.000000,0.000000
21.207000,0.000000,0.000000,1.958076,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.901600,-0.000000,0.000000,0.000000
21.208000,0.000000,0.000000,1.957164,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.911400,-0.000000,0.000000,0.000000
21.209000,0.000000,0.000000,1.956243,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.921200,-0.000000,0.000000,0.000000
21.210000,0.000000,0.000000,1.955312,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.931000,-0.000000,0.000000,0.000000
21.211000,0.000000,0.000000,1.954371,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.940800,-0.000000,0.000000,0.000000
21.212000,0.000000,0.000000,1.953421,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.950600,-0.000000,0.000000,0.000000
21.213000,0.000000,0.000000,1.952460,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.960400,-0.000000,0.000000,0.000000
21.214000,0.000000,0.000000,1.951490,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.970200,-0.000000,0.000000,0.000000
21.215000,0.000000,0.000000,1.950510,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.980000,-0.000000,0.000000,0.000000
21.216000,0.000000,0.000000,1.949520,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.989800,-0.000000,0.000000,0.000000
21.217000,0.000000,0.000000,1.948521,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.999600,-0.000000,0.000000,0.000000
21.218000,0.000000,0.000000,1.947511,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.009400,-0.000000,0.000000,0.000000
21.219000,0.000000,0.000000,1.946492,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.019200,-0.000000,0.000000,0.000000
21.220000,0.000000,0.000000,1.945463,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.029000,-0.000000,0.000000,0.000000
21.221000,0.000000,0.000000,1.944424,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.038800,-0.000000,0.000000,0.000000
21.222000,0.000000,0.000000,1.943376,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.048600,-0.000000,0.000000,0.000000
21.223000,0.000000,0.000000,1.942317,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.058400,-0.000000,0.000000,0.000000
21.224000,0.000000,0.000000,1.941249,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.068200,-0.000000,0.000000,0.000000
21.225000,0.000000,0.000000,1.940171,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.078000,-0.000000,0.000000,0.000000
21.226000,0.000000,0.000000,1.939083,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.087800,-0.000000,0.000000,0.000000
21.227000,0.000000,0.000000,1.937986,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.097600,-0.000000,0.000000,0.000000
21.228000,0.000000,0.000000,1.936878,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.107400,-0.000000,0.000000,0.000000
21.229000,0.000000,0.000000,1.935761,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.117200,-0.000000,0.000000,0.000000
21.230000,0.000000,0.000000,1.934634,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.127000,-0.000000,0.000000,0.000000
21.231000,0.000000,0.000000,1.933497,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.136800,-0.000000,0.000000,0.000000
21.232000,0.000000,0.000000,1.932351,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.146600,-0.000000,0.000000,0.000000
21.233000,0.000000,0.000000,1.931194,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.156400,-0.000000,0.000000,0.000000
21.234000,0.000000,0.000000,1.930028,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.166200,-0.000000,0.000000,0.000000
21.235000,0.000000,0.000000,1.928852,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.176000,-0.000000,0.000000,0.000000
21.236000,0.000000,0.000000,1.927666,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.185800,-0.000000,0.000000,0.000000
21.237000,0.000000,0.000000,1.926471,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.195600,-0.000000,0.000000,0.000000
21.238000,0.000000,0.000000,1.925265,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.205400,-0.000000,0.000000,0.000000
21.239000,0.000000,0.000000,1.924050,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.215200,-0.000000,0.000000,0.000000
21.240000,0.000000,0.000000,1.922825,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.225000,-0.000000,0.000000,0.000000
21.241000,0.000000,0.000000,1.921590,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.234800,-0.000000,0.000000,0.000000
21.242000,0.000000,0.000000,1.920346,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.244600,-0.000000,0.000000,0.000000
21.243000,0.000000,0.000000,1.919091,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.254400,-0.000000,0.000000,0.000000
21.244000,0.000000,0.000000,1.917827,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.264200,-0.000000,0.000000,0.000000
21.245000,0.000000,0.000000,1.916553,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.274000,-0.000000,0.000000,0.000000
21.246000,0.000000,0.000000,1.915269,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.283800,-0.000000,0.000000,0.000000
21.247000,0.000000,0.000000,1.913976,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.293600,-0.000000,0.000000,0.000000
21.248000,0.000000,0.000000,1.912672,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.303400,-0.000000,0.000000,0.000000
21.249000,0.000000,0.000000,1.911359,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.313200,-0.000000,0.000000,0.000000
21.250000,0.000000,0.000000,1.910036,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.323000,-0.000000,0.000000,0.000000
21.251000,0.000000,0.000000,1.908703,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.332800,-0.000000,0.000000,0.000000
21.252000,0.000000,0.000000,1.907361,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.342600,-0.000000,0.000000,0.000000
21.253000,0.000000,0.000000,1.906008,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.352400,-0.000000,0.000000,0.000000
21.254000,0.000000,0.000000,1.904646,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.362200,-0.000000,0.000000,0.000000
21.255000,0.000000,0.000000,1.903274,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.372000,-0.000000,0.000000,0.000000
21.256000,0.000000,0.000000,1.901892,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.381800,-0.000000,0.000000,0.000000
21.257000,0.000000,0.000000,1.900501,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.391600,-0.000000,0.000000,0.000000
21.258000,0.000000,0.000000,1.899099,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.401400,-0.000000,0.000000,0.000000
21.259000,0.000000,0.000000,1.897688,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.411200,-0.000000,0.000000,0.000000
21.260000,0.000000,0.000000,1.896267,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.421000,-0.000000,0.000000,0.000000
21.261000,0.000000,0.000000,1.894836,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.430800,-0.000000,0.000000,0.000000
21.262000,0.000000,0.000000,1.893396,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.440600,-0.000000,0.000000,0.000000
21.263000,0.000000,0.000000,1.891945,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.450400,-0.000000,0.000000,0.000000
21.264000,0.000000,0.000000,1.890485,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.460200,-0.000000,0.000000,0.000000
21.265000,0.000000,0.000000,1.889015,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.470000,-0.000000,0.000000,0.000000
21.266000,0.000000,0.000000,1.887535,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.479800,-0.000000,0.000000,0.000000
21.267000,0.000000,0.000000,1.886046,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.489600,-0.000000,0.000000,0.000000
21.268000,0.000000,0.000000,1.884546,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.499400,-0.000000,0.000000,0.000000
21.269000,0.000000,0.000000,1.883037,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.509200,-0.000000,0.000000,0.000000
21.270000,0.000000,0.000000,1.881518,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.519000,-0.000000,0.000000,0.000000
21.271000,0.000000,0.000000,1.879989,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.528800,-0.000000,0.000000,0.000000
21.272000,0.000000,0.000000,1.878451,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.538600,-0.000000,0.000000,0.000000
21.273000,0.000000,0.000000,1.876902,-0.000000,0.000000,0.000000,0.000000,0.000000,-1.548400,-0.000000,0.000000,0.000000
